evento_id;nombre_evento;fecha_contratación;fecha_evento;lugar_nombre;sucursal_nombre;tipo_cliente;run_cliente;nombre_cliente;rut_contacto_empresa;nombre_contacto_empresa;cargo_contacto;lista_asistentes;monto_total_evento;monto_pagado_reserva;monto_pagado_ejecucion
1;Cena Anual Corporativa;31-12-25;26-02-26;SalonEventos3;La Florida;persona;15852232-2;Herminda Arancibia Duarte;;;Gerente General;"Lucas Iturra;Sofia Tapia;Camila Perez;Maria Vidal;Juan Vidal;Ana Rojas;Maria Mendez;Diego Rojas;Camila Rojas;Antonella Mendez;Sofia Tapia;Luis Iturra;Maria Perez;Pablo Contreras;Pablo Vidal;Sofia Tapia;Ana Perez;Luis Vidal;Antonella Rojas;Antonella Perez;Camila Vidal;Elena Rojas;Ana Iturra;Antonella Silva;Antonella Mendez;Sofia Perez;Ana Tapia;Ana Silva;Elena Contreras;Maria Tapia;Lucas Silva;Luis Mendez;Lucas Tapia;Lucas Gonzalez;Luis Iturra;Elena Vidal;Antonella Silva;Juan Perez;Lucas Vidal;Camila Tapia;Pablo Vidal;Luis Mendez;Elena Vidal;Elena Gonzalez;Ana Perez";10000000;5000000;5000000
2;Lanzamiento de Producto;06-11-25;16-02-26;SalonEventos2;Santiago Centro;persona;76.000.000-0;Andes SpA;10167947-0;Gumersindo Mondaca Duarte;Director Comercial;"Pedro Contreras;Pedro Silva;Sofia Tapia;Antonella Tapia;Camila Rojas;Sofia Tapia;Diego Contreras;Diego Rojas;Pedro Vidal;Sofia Iturra;Pedro Rojas;Elena Silva;Ana Iturra;Luis Mendez;Pablo Iturra;Ana Mendez;Luis Perez;Sofia Perez;Ana Silva;Antonella Tapia;Juan Perez;Ana Gonzalez;Juan Tapia;Pedro Rojas;Camila Silva;Camila Tapia;Lucas Rojas;Ana Silva;Diego Gonzalez;Pedro Gonzalez;Camila Mendez;Antonella Contreras;Luis Lagos;Camila Lagos;Sofia Rojas;Luis Silva;Pedro Contreras;Sofia Lagos;Maria Contreras;Juan Vidal;Luis Rojas;Sofia Iturra;Luis Gonzalez;Pedro Mendez;Elena Lagos";15400000;7700000;7700000
3;Bautizo Familiar;07-01-26;14-02-26;SalonEventos3;La Florida;persona;14942608-6;Aurelio Estay Olavarría;;;Organizador;"Diego Perez;Lucas Vidal;Camila Mendez;Juan Gonzalez;Luis Lagos;Ana Mendez;Ana Lagos;Pedro Lagos;Ana Mendez;Camila Vidal;Ana Mendez;Sofia Contreras;Camila Gonzalez;Luis Gonzalez;Diego Perez;Diego Vidal;Diego Tapia;Elena Lagos;Diego Iturra;Diego Tapia;Diego Rojas;Antonella Lagos;Elena Perez;Sofia Tapia;Lucas Perez;Juan Mendez;Lucas Rojas;Luis Vidal;Pablo Silva;Antonella Mendez;Camila Tapia;Lucas Contreras;Ana Contreras;Juan Lagos;Elena Perez;Pedro Rojas;Camila Contreras;Antonella Mendez;Diego Iturra;Juan Contreras;Juan Iturra;Sofia Silva;Pablo Contreras;Pedro Mendez;Antonella Mendez";6800000;3400000;3400000
4;Matrimonio Civil;22-01-26;19-02-26;SalonEventos4;Santiago Centro;socio;6988932-3;;;;Jefe Proyectos;"Diego Iturra;Pablo Contreras;Pablo Vidal;Diego Silva;Antonella Gonzalez;Luis Tapia;Ana Tapia;Luis Vidal;Elena Mendez;Camila Mendez;Camila Tapia;Ana Contreras;Pedro Silva;Lucas Iturra;Ana Mendez;Luis Lagos;Diego Mendez;Antonella Tapia;Sofia Tapia;Maria Rojas;Diego Vidal;Pedro Vidal;Elena Silva;Pedro Rojas;Camila Gonzalez;Ana Vidal;Pablo Silva;Lucas Perez;Maria Gonzalez;Camila Tapia;Elena Tapia;Elena Tapia;Juan Vidal;Ana Vidal;Diego Rojas;Luis Rojas;Sofia Mendez;Elena Iturra;Antonella Silva;Lucas Perez;Diego Rojas;Ana Perez;Maria Gonzalez;Elena Vidal;Diego Gonzalez";22000000;11000000;11000000
5;Fiesta de Fin de AÃ±o;04-11-25;02-02-26;SalonEventos2;Santiago Centro;empresa-institucion;76.000.000-0;Andes SpA;10057277-K;Bernarda Calderon Ubilla;Subgerente;"Elena Rojas;Camila Perez;Juan Lagos;Maria Iturra;Luis Vidal;Antonella Lagos;Pedro Gonzalez;Antonella Lagos;Camila Iturra;Pedro Vidal;Pablo Contreras;Juan Iturra;Camila Gonzalez;Maria Perez;Sofia Silva;Lucas Silva;Elena Tapia;Luis Silva;Diego Lagos;Sofia Vidal;Juan Contreras;Sofia Lagos;Ana Tapia;Luis Iturra;Ana Vidal;Camila Iturra;Sofia Vidal;Pedro Tapia;Sofia Contreras;Elena Tapia;Pablo Mendez;Maria Perez;Ana Iturra;Pablo Perez;Maria Contreras;Ana Perez;Diego Vidal;Sofia Mendez;Pedro Rojas;Pedro Gonzalez;Diego Lagos;Juan Lagos;Diego Rojas;Pablo Gonzalez;Elena Gonzalez";28000000;14000000;14000000
6;Conferencia Regional;17-09-25;16-02-26;SalonEventos1;Santa Cruz;empresa-institucion;76.000.001-9;Pacifico SpA;17839491-6;Demetria Ubilla Benavides;Coordinador;"Elena Silva;Pablo Tapia;Pablo Iturra;Luis Contreras;Lucas Lagos;Maria Perez;Pedro Perez;Pablo Mendez;Pablo Lagos;Pablo Gonzalez;Antonella Rojas;Sofia Vidal;Antonella Lagos;Sofia Perez;Ana Tapia;Pedro Tapia;Elena Iturra;Sofia Gonzalez;Sofia Silva;Juan Silva;Maria Lagos;Diego Lagos;Sofia Perez;Juan Rojas;Sofia Mendez;Luis Iturra;Maria Lagos;Juan Rojas;Elena Perez;Pablo Gonzalez;Elena Gonzalez;Lucas Contreras;Diego Iturra;Diego Tapia;Lucas Mendez;Pedro Mendez;Pablo Mendez;Camila Perez;Pablo Perez;Pablo Gonzalez;Lucas Contreras;Juan Gonzalez;Diego Iturra;Elena Vidal;Pedro Contreras";12500000;6250000;6250000
7;Cena de Gala;01-11-25;05-02-26;SalonEventos4;Santa Cruz;socio;20848551-2;;;;Gerente RRHH;"Maria Contreras;Elena Vidal;Camila Iturra;Juan Silva;Camila Vidal;Camila Tapia;Camila Mendez;Diego Contreras;Elena Perez;Pablo Mendez;Lucas Tapia;Maria Mendez;Lucas Silva;Camila Silva;Luis Gonzalez;Juan Lagos;Pablo Rojas;Diego Lagos;Elena Perez;Luis Vidal;Diego Contreras;Camila Mendez;Elena Lagos;Juan Silva;Diego Silva;Diego Gonzalez;Diego Rojas;Elena Silva;Juan Lagos;Lucas Rojas;Luis Vidal;Maria Gonzalez;Camila Mendez;Diego Iturra;Camila Mendez;Maria Tapia;Maria Vidal;Camila Rojas;Camila Iturra;Antonella Contreras;Antonella Iturra;Elena Rojas;Diego Vidal;Juan Silva;Camila Rojas";18600000;9300000;9300000
8;ReuniÃ³n Directorio;06-10-25;28-02-26;SalonEventos1;Providencia;empresa-institucion;76.000.002-7;Patagonia SpA;11303203-0;Herminda Olavarría Mondaca;Secretario General;"Elena Iturra;Juan Tapia;Antonella Vidal;Lucas Tapia;Juan Silva;Pedro Lagos;Sofia Rojas;Antonella Contreras;Pablo Rojas;Camila Silva;Antonella Lagos;Camila Mendez;Antonella Tapia;Camila Vidal;Elena Lagos;Sofia Perez;Diego Lagos;Diego Rojas;Juan Tapia;Lucas Perez;Lucas Lagos;Pablo Gonzalez;Antonella Mendez;Pedro Tapia;Ana Iturra;Juan Perez;Lucas Tapia;Juan Contreras;Camila Contreras;Camila Contreras;Elena Perez;Pedro Gonzalez;Maria Contreras;Elena Mendez;Sofia Vidal;Lucas Contreras;Juan Gonzalez;Ana Lagos;Maria Rojas;Diego Mendez;Elena Lagos;Juan Contreras;Luis Iturra;Maria Silva;Sofia Perez";5200000;2600000;2600000
9;Cocktail de Bienvenida;15-01-26;15-02-26;SalonEventos4;Santa Cruz;empresa-institucion;76.000.003-5;Mapocho SpA;11893953-0;Casimiro Calderon Benavides;Relaciones PÃºblicas;"Maria Mendez;Juan Mendez;Diego Gonzalez;Antonella Gonzalez;Ana Mendez;Juan Lagos;Antonella Lagos;Maria Mendez;Pablo Lagos;Maria Rojas;Antonella Perez;Luis Perez;Diego Rojas;Sofia Silva;Pedro Iturra;Diego Mendez;Juan Perez;Diego Mendez;Diego Contreras;Juan Contreras;Luis Silva;Pablo Gonzalez;Lucas Lagos;Pedro Perez;Elena Gonzalez;Maria Perez;Sofia Silva;Ana Rojas;Antonella Gonzalez;Juan Lagos;Pablo Lagos;Lucas Tapia;Pablo Lagos;Diego Vidal;Elena Contreras;Pedro Lagos;Camila Iturra;Ana Tapia;Diego Lagos;Pedro Vidal;Luis Iturra;Juan Perez;Sofia Gonzalez;Juan Rojas;Maria Rojas";9400000;4700000;4700000
10;Taller de CapacitaciÃ³n;08-11-25;14-02-26;SalonEventos2;Santa Cruz;persona;18624132-0;Eulogio Estay Ubilla;;;Facilitador;"Antonella Contreras;Ana Rojas;Ana Lagos;Ana Perez;Antonella Gonzalez;Juan Iturra;Diego Perez;Lucas Perez;Elena Lagos;Maria Contreras;Juan Mendez;Sofia Mendez;Pablo Silva;Pedro Perez;Lucas Iturra;Ana Tapia;Luis Lagos;Antonella Mendez;Ana Mendez;Elena Contreras;Juan Gonzalez;Juan Vidal;Sofia Rojas;Camila Silva;Antonella Vidal;Lucas Tapia;Maria Iturra;Maria Iturra;Maria Tapia;Sofia Lagos;Sofia Lagos;Pablo Rojas;Pablo Silva;Lucas Tapia;Diego Vidal;Elena Iturra;Ana Iturra;Maria Gonzalez;Pedro Mendez;Diego Rojas;Pablo Iturra;Luis Silva;Elena Tapia;Ana Gonzalez;Elena Iturra";11200000;5600000;5600000
