evento_id;nombre_evento;fecha_contratación;fecha_evento;lugar_nombre;sucursal_nombre;tipo_cliente;run_cliente;nombre_cliente;rut_contacto_empresa;nombre_contacto_empresa;cargo_contacto;lista_asistentes;monto_total_evento;monto_pagado_reserva;monto_pagado_ejecucion
1;"cena anual corporativa";2025-12-31;2026-02-26;saloneventos3;"la florida";persona;15852232-2;"herminda arancibia duarte";;;"gerente general";"lucas iturra;sofia tapia;camila perez;maria vidal;juan vidal;ana rojas;maria mendez;diego rojas;camila rojas;antonella mendez;sofia tapia;luis iturra;maria perez;pablo contreras;pablo vidal;sofia tapia;ana perez;luis vidal;antonella rojas;antonella perez;camila vidal;elena rojas;ana iturra;antonella silva;antonella mendez;sofia perez;ana tapia;ana silva;elena contreras;maria tapia;lucas silva;luis mendez;lucas tapia;lucas gonzalez;luis iturra;elena vidal;antonella silva;juan perez;lucas vidal;camila tapia;pablo vidal;luis mendez;elena vidal;elena gonzalez;ana perez";10000000;5000000;5000000
2;"lanzamiento de producto";2025-11-06;2026-02-16;saloneventos2;"santiago centro";persona;76000000-0;"andes spa";10167947-0;"gumersindo mondaca duarte";"director comercial";"pedro contreras;pedro silva;sofia tapia;antonella tapia;camila rojas;sofia tapia;diego contreras;diego rojas;pedro vidal;sofia iturra;pedro rojas;elena silva;ana iturra;luis mendez;pablo iturra;ana mendez;luis perez;sofia perez;ana silva;antonella tapia;juan perez;ana gonzalez;juan tapia;pedro rojas;camila silva;camila tapia;lucas rojas;ana silva;diego gonzalez;pedro gonzalez;camila mendez;antonella contreras;luis lagos;camila lagos;sofia rojas;luis silva;pedro contreras;sofia lagos;maria contreras;juan vidal;luis rojas;sofia iturra;luis gonzalez;pedro mendez;elena lagos";15400000;7700000;7700000
3;"bautizo familiar";2026-01-07;2026-02-14;saloneventos3;"la florida";persona;14942608-6;"aurelio estay olavarria";;;organizador;"diego perez;lucas vidal;camila mendez;juan gonzalez;luis lagos;ana mendez;ana lagos;pedro lagos;ana mendez;camila vidal;ana mendez;sofia contreras;camila gonzalez;luis gonzalez;diego perez;diego vidal;diego tapia;elena lagos;diego iturra;diego tapia;diego rojas;antonella lagos;elena perez;sofia tapia;lucas perez;juan mendez;lucas rojas;luis vidal;pablo silva;antonella mendez;camila tapia;lucas contreras;ana contreras;juan lagos;elena perez;pedro rojas;camila contreras;antonella mendez;diego iturra;juan contreras;juan iturra;sofia silva;pablo contreras;pedro mendez;antonella mendez";6800000;3400000;3400000
5;"fiesta de fin de ano";2025-11-04;2026-02-02;saloneventos2;"santiago centro";empresa;76000000-0;"andes spa";10057277-k;"bernarda calderon ubilla";subgerente;"elena rojas;camila perez;juan lagos;maria iturra;luis vidal;antonella lagos;pedro gonzalez;antonella lagos;camila iturra;pedro vidal;pablo contreras;juan iturra;camila gonzalez;maria perez;sofia silva;lucas silva;elena tapia;luis silva;diego lagos;sofia vidal;juan contreras;sofia lagos;ana tapia;luis iturra;ana vidal;camila iturra;sofia vidal;pedro tapia;sofia contreras;elena tapia;pablo mendez;maria perez;ana iturra;pablo perez;maria contreras;ana perez;diego vidal;sofia mendez;pedro rojas;pedro gonzalez;diego lagos;juan lagos;diego rojas;pablo gonzalez;elena gonzalez";28000000;14000000;14000000
6;"conferencia regional";2025-09-17;2026-02-16;saloneventos1;"santa cruz";empresa;76000001-9;"pacifico spa";17839491-6;"demetria ubilla benavides";coordinador;"elena silva;pablo tapia;pablo iturra;luis contreras;lucas lagos;maria perez;pedro perez;pablo mendez;pablo lagos;pablo gonzalez;antonella rojas;sofia vidal;antonella lagos;sofia perez;ana tapia;pedro tapia;elena iturra;sofia gonzalez;sofia silva;juan silva;maria lagos;diego lagos;sofia perez;juan rojas;sofia mendez;luis iturra;maria lagos;juan rojas;elena perez;pablo gonzalez;elena gonzalez;lucas contreras;diego iturra;diego tapia;lucas mendez;pedro mendez;pablo mendez;camila perez;pablo perez;pablo gonzalez;lucas contreras;juan gonzalez;diego iturra;elena vidal;pedro contreras";12500000;6250000;6250000
8;"reunion directorio";2025-10-06;2026-02-28;saloneventos1;providencia;empresa;76000002-7;"patagonia spa";11303203-0;"herminda olavarria mondaca";"secretario general";"elena iturra;juan tapia;antonella vidal;lucas tapia;juan silva;pedro lagos;sofia rojas;antonella contreras;pablo rojas;camila silva;antonella lagos;camila mendez;antonella tapia;camila vidal;elena lagos;sofia perez;diego lagos;diego rojas;juan tapia;lucas perez;lucas lagos;pablo gonzalez;antonella mendez;pedro tapia;ana iturra;juan perez;lucas tapia;juan contreras;camila contreras;camila contreras;elena perez;pedro gonzalez;maria contreras;elena mendez;sofia vidal;lucas contreras;juan gonzalez;ana lagos;maria rojas;diego mendez;elena lagos;juan contreras;luis iturra;maria silva;sofia perez";5200000;2600000;2600000
9;"cocktail de bienvenida";2026-01-15;2026-02-15;saloneventos4;"santa cruz";empresa;76000003-5;"mapocho spa";11893953-0;"casimiro calderon benavides";"relaciones publicas";"maria mendez;juan mendez;diego gonzalez;antonella gonzalez;ana mendez;juan lagos;antonella lagos;maria mendez;pablo lagos;maria rojas;antonella perez;luis perez;diego rojas;sofia silva;pedro iturra;diego mendez;juan perez;diego mendez;diego contreras;juan contreras;luis silva;pablo gonzalez;lucas lagos;pedro perez;elena gonzalez;maria perez;sofia silva;ana rojas;antonella gonzalez;juan lagos;pablo lagos;lucas tapia;pablo lagos;diego vidal;elena contreras;pedro lagos;camila iturra;ana tapia;diego lagos;pedro vidal;luis iturra;juan perez;sofia gonzalez;juan rojas;maria rojas";9400000;4700000;4700000
10;"taller de capacitacion";2025-11-08;2026-02-14;saloneventos2;"santa cruz";persona;18624132-0;"eulogio estay ubilla";;;facilitador;"antonella contreras;ana rojas;ana lagos;ana perez;antonella gonzalez;juan iturra;diego perez;lucas perez;elena lagos;maria contreras;juan mendez;sofia mendez;pablo silva;pedro perez;lucas iturra;ana tapia;luis lagos;antonella mendez;ana mendez;elena contreras;juan gonzalez;juan vidal;sofia rojas;camila silva;antonella vidal;lucas tapia;maria iturra;maria iturra;maria tapia;sofia lagos;sofia lagos;pablo rojas;pablo silva;lucas tapia;diego vidal;elena iturra;ana iturra;maria gonzalez;pedro mendez;diego rojas;pablo iturra;luis silva;elena tapia;ana gonzalez;elena iturra";11200000;5600000;5600000
11;"aniversario empresa";2025-11-25;2026-02-03;saloneventos2;"santiago centro";empresa;76000004-3;"cordillera spa";22739223-1;"eulogio duarte olavarria";"gerente operaciones";"maria gonzalez;antonella tapia;elena iturra;luis gonzalez;antonella silva;diego tapia;pablo silva;lucas rojas;elena gonzalez;elena tapia;pablo lagos;maria silva;elena tapia;pablo rojas;luis silva;juan iturra;elena mendez;sofia tapia;lucas rojas;camila rojas;camila gonzalez;maria perez;pablo lagos;antonella gonzalez;pablo perez;maria gonzalez;ana mendez;maria vidal;luis perez;luis silva;lucas vidal;antonella iturra;sofia vidal;ana contreras;pablo lagos;sofia mendez;lucas gonzalez;ana iturra;luis gonzalez;ana lagos;ana gonzalez;ana gonzalez;pedro vidal;elena silva;luis perez";24500000;12250000;12250000
12;"seminario de innovacion";2025-10-25;2026-02-13;saloneventos4;providencia;empresa;76000005-1;"norte spa";10988545-2;"casimiro arancibia benavides";ceo;"pedro silva;luis silva;elena mendez;elena tapia;pedro rojas;ana tapia;luis gonzalez;lucas lagos;ana gonzalez;pedro contreras;sofia lagos;pablo rojas;pedro lagos;ana iturra;juan mendez;sofia iturra;lucas tapia;luis vidal;pablo lagos;juan perez;elena perez;pedro gonzalez;elena contreras;diego perez;elena perez;luis rojas;luis contreras;sofia perez;pedro mendez;lucas tapia;lucas tapia;antonella rojas;luis mendez;pedro iturra;antonella contreras;antonella tapia;pedro lagos;pablo silva;juan tapia;pablo perez;pablo iturra;antonella gonzalez;pedro iturra;luis tapia;sofia perez";14800000;7400000;7400000
