pago_id;run_socio_titular;nombre_socio_titular;anio_membresia;mes_cuota;fecha_vencimiento;monto_membresia;monto_adicionales;monto_total;estado_pago;fecha_pago;medio_pago
1;24887596-8;"mauricio barrera duarte";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-03;transferencia
2;24887596-8;"mauricio barrera duarte";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-04;tarjeta
3;24887596-8;"mauricio barrera duarte";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-01;transferencia
4;24887596-8;"mauricio barrera duarte";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-05;tarjeta
5;24887596-8;"mauricio barrera duarte";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-02;transferencia
6;24887596-8;"mauricio barrera duarte";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-04;tarjeta
7;24887596-8;"mauricio barrera duarte";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-01;transferencia
8;24887596-8;"mauricio barrera duarte";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-03;tarjeta
9;24887596-8;"mauricio barrera duarte";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-04;transferencia
10;24887596-8;"mauricio barrera duarte";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-05;tarjeta
11;24887596-8;"mauricio barrera duarte";2025;11;2025-11-05;25000;0;25000;pagado;2025-11-02;transferencia
12;24887596-8;"mauricio barrera duarte";2025;12;2025-12-05;25000;5000;30000;atrasado;;
13;10336757-5;"claudio barrera ortiz";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-02;tarjeta
14;10336757-5;"claudio barrera ortiz";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-01;transferencia
15;10336757-5;"claudio barrera ortiz";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-04;tarjeta
16;10336757-5;"claudio barrera ortiz";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-03;transferencia
17;10336757-5;"claudio barrera ortiz";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-05;tarjeta
18;10336757-5;"claudio barrera ortiz";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-01;transferencia
19;10336757-5;"claudio barrera ortiz";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-04;tarjeta
20;10336757-5;"claudio barrera ortiz";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-02;transferencia
21;10336757-5;"claudio barrera ortiz";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-04;tarjeta
22;10336757-5;"claudio barrera ortiz";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-01;transferencia
23;10336757-5;"claudio barrera ortiz";2025;11;2025-11-05;25000;0;25000;pagado;2025-11-04;tarjeta
24;10336757-5;"claudio barrera ortiz";2025;12;2025-12-05;25000;5000;30000;atrasado;;
25;11606281-k;"claudio quezada ortiz";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-04;transferencia
26;11606281-k;"claudio quezada ortiz";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-05;tarjeta
27;11606281-k;"claudio quezada ortiz";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-02;transferencia
28;11606281-k;"claudio quezada ortiz";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-04;tarjeta
29;11606281-k;"claudio quezada ortiz";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-01;transferencia
30;11606281-k;"claudio quezada ortiz";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-04;tarjeta
31;11606281-k;"claudio quezada ortiz";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-03;transferencia
32;11606281-k;"claudio quezada ortiz";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-05;tarjeta
33;11606281-k;"claudio quezada ortiz";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-02;transferencia
34;11606281-k;"claudio quezada ortiz";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-04;tarjeta
35;11606281-k;"claudio quezada ortiz";2025;11;2025-11-05;25000;0;25000;pagado;2025-11-01;transferencia
36;11606281-k;"claudio quezada ortiz";2025;12;2025-12-05;25000;5000;30000;atrasado;;
37;6988932-3;"felicia quezada fuentes";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-03;tarjeta
38;6988932-3;"felicia quezada fuentes";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-01;transferencia
39;6988932-3;"felicia quezada fuentes";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-05;tarjeta
40;6988932-3;"felicia quezada fuentes";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-02;transferencia
41;6988932-3;"felicia quezada fuentes";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-04;tarjeta
42;6988932-3;"felicia quezada fuentes";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-01;transferencia
43;6988932-3;"felicia quezada fuentes";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-05;tarjeta
44;6988932-3;"felicia quezada fuentes";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-03;transferencia
45;6988932-3;"felicia quezada fuentes";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-05;tarjeta
46;6988932-3;"felicia quezada fuentes";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-01;transferencia
47;6988932-3;"felicia quezada fuentes";2025;11;2025-11-05;25000;0;25000;pagado;2025-11-05;tarjeta
48;6988932-3;"felicia quezada fuentes";2025;12;2025-12-05;25000;5000;30000;atrasado;;
49;8554458-8;"javiera mendez fuentes";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-04;transferencia
50;8554458-8;"javiera mendez fuentes";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-05;tarjeta
51;8554458-8;"javiera mendez fuentes";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-02;transferencia
52;8554458-8;"javiera mendez fuentes";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-03;tarjeta
53;8554458-8;"javiera mendez fuentes";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-01;transferencia
54;8554458-8;"javiera mendez fuentes";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-04;tarjeta
55;8554458-8;"javiera mendez fuentes";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-02;transferencia
56;8554458-8;"javiera mendez fuentes";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-04;tarjeta
57;8554458-8;"javiera mendez fuentes";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-01;transferencia
58;8554458-8;"javiera mendez fuentes";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-04;tarjeta
59;8554458-8;"javiera mendez fuentes";2025;11;2025-11-05;25000;0;25000;atrasado;;
60;8554458-8;"javiera mendez fuentes";2025;12;2025-12-05;25000;5000;30000;atrasado;;
61;20484469-3;"patricia pardo fuentes";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-02;tarjeta
62;20484469-3;"patricia pardo fuentes";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-01;transferencia
63;20484469-3;"patricia pardo fuentes";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-04;tarjeta
64;20484469-3;"patricia pardo fuentes";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-03;transferencia
65;20484469-3;"patricia pardo fuentes";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-05;tarjeta
66;20484469-3;"patricia pardo fuentes";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-02;transferencia
67;20484469-3;"patricia pardo fuentes";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-04;tarjeta
68;20484469-3;"patricia pardo fuentes";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-01;transferencia
69;20484469-3;"patricia pardo fuentes";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-04;tarjeta
70;20484469-3;"patricia pardo fuentes";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-02;transferencia
71;20484469-3;"pedro perez";2025;11;2025-11-05;25000;0;25000;atrasado;;
72;20484469-3;"patricia pardo fuentes";2025;12;2025-12-05;25000;5000;30000;atrasado;;
73;20848551-2;"daniela henriquez fuentes";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-04;transferencia
74;20848551-2;"daniela henriquez fuentes";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-05;tarjeta
75;20848551-2;"daniela henriquez fuentes";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-03;transferencia
76;20848551-2;"daniela henriquez fuentes";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-04;tarjeta
77;20848551-2;"daniela henriquez fuentes";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-01;transferencia
78;20848551-2;"daniela henriquez fuentes";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-04;tarjeta
79;20848551-2;"daniela henriquez fuentes";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-02;transferencia
80;20848551-2;"daniela henriquez fuentes";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-05;tarjeta
81;20848551-2;"daniela henriquez fuentes";2025;9;2025-09-05;25000;12000;37000;pagado;2025-09-01;transferencia
82;20848551-2;"daniela henriquez fuentes";2025;10;2025-10-05;25000;5000;30000;pagado;2025-10-04;tarjeta
83;20848551-2;"daniela henriquez fuentes";2025;11;2025-11-05;25000;0;25000;atrasado;;
84;20848551-2;"daniela henriquez fuentes";2025;12;2025-12-05;25000;5000;30000;atrasado;;
85;22997716-4;"natalia duarte nunez";2025;1;2025-01-05;25000;0;25000;pagado;2025-01-03;tarjeta
86;22997716-4;"natalia duarte nunez";2025;2;2025-02-05;25000;5000;30000;pagado;2025-02-01;transferencia
87;22997716-4;"natalia duarte nunez";2025;3;2025-03-05;25000;12000;37000;pagado;2025-03-05;tarjeta
88;22997716-4;"natalia duarte nunez";2025;4;2025-04-05;25000;5000;30000;pagado;2025-04-02;transferencia
89;22997716-4;"natalia duarte nunez";2025;5;2025-05-05;25000;0;25000;pagado;2025-05-04;tarjeta
90;22997716-4;"natalia duarte nunez";2025;6;2025-06-05;25000;5000;30000;pagado;2025-06-01;transferencia
91;22997716-4;"natalia duarte nunez";2025;7;2025-07-05;25000;0;25000;pagado;2025-07-05;tarjeta
92;22997716-4;"natalia duarte nunez";2025;8;2025-08-05;25000;5000;30000;pagado;2025-08-03;transferencia
