run_persona;nombre_completo;email;telefono_celular;telefono_alternativo;direccion_calle;comuna_nombre;region_codigo;region_nombre;tipo_persona;run_socio_titular;parentesco;fecha_nacimiento;fecha_inicio_membresia;fecha_fin_membresia;es_usuario_sistema;tipo_usuario;clave_en_texto_plano;sucursal_base_nombre
15741923-4;"claudio quezada contreras";claudio.quezada245@mail.cl;991377023;;"av macul 1200";"las condes";13;metropolitana;invitado;;;;2025-01-01;2025-12-31;NO;;;"la florida"
24760909-1;"javiera duarte espinoza";javiera.duarte76@mail.cl;982548578;;"av providencia 3800";concepcion;8;biobio;adicional;;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
8618060-1;"gonzalo ortiz fuentes";gonzalo.ortiz920@mail.cl;983021172;;"av vitacura 2400";"las condes";13;metropolitana;beneficiario;;;;2025-01-01;2025-12-31;NO;;;"la florida"
24887596-8;"mauricio barrera duarte";mauricio.barrera71@mail.cl;;;"av pedro de valdivia 4000";"san miguel";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave9012;"santiago centro"
15056800-5;"enrique espinoza mendez";enrique.espinoza303@mail.cl;;;"av macul 2600";"vina del mar";5;valparaiso;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
19248057-4;"claudio barrera jara";claudio.barrera746@mail.cl;;;"av vitacura 3400";santiago;13;metropolitana;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
10336757-5;"claudio barrera ortiz";claudio.barrera409@mail.cl;997309677;;"av pedro de valdivia 700";providencia;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave5684;"santa cruz"
18255309-5;"javiera pardo nunez";javiera.pardo833@mail.cl;;;"av vicuna mackenna 3000";concepcion;8;biobio;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;providencia
19510785-9;"alvaro ortiz espinoza";alvaro.ortiz112@mail.cl;994405901;;"av providencia 3800";"san miguel";13;metropolitana;invitado;10336757-5;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
10336614-3;"javiera ortiz alvarez";javiera.ortiz629@mail.cl;;;"av gran avenida 1000";independencia;13;metropolitana;adicional;10336757-5;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
11835660-8;"beatriz nunez nunez";beatriz.nunez616@mail.cl;;;"av vicuna mackenna 1000";independencia;13;metropolitana;adicional;10336757-5;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
19841440-9;"claudio contreras duarte";claudio.contreras771@mail.cl;920096047;;"av irarrazaval 2500";nunoa;13;metropolitana;adicional;10336757-5;;;2025-01-01;2025-12-31;NO;;;providencia
17254917-4;"beatriz nunez fuentes";beatriz.nunez348@mail.cl;969105103;;"av recoleta 2100";santiago;13;metropolitana;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;"la florida"
21350733-8;"kevin quezada galdames";kevin.quezada94@mail.cl;982880079;;"av vitacura 600";concepcion;8;biobio;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;providencia
7339507-0;"enrique ortiz henriquez";enrique.ortiz488@mail.cl;981109079;;"av recoleta 100";"san miguel";13;metropolitana;invitado;10336757-5;;;2025-01-01;2025-12-31;NO;;;"la florida"
17456317-9;"kevin galdames contreras";kevin.galdames474@mail.cl;;;"av alameda 600";"la reina";13;metropolitana;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;"la florida"
18362550-3;"alvaro lagos iturra";alvaro.lagos547@mail.cl;916003336;;"av recoleta 100";"la reina";13;metropolitana;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
11606281-k;"claudio quezada ortiz";claudio.quezada783@mail.cl;915107501;;"av providencia 700";santiago;13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave5823;"santiago centro"
20550776-8;"natalia contreras barrera";natalia.contreras144@mail.cl;973442070;;"av vitacura 3400";"santa cruz";6;o'higgins;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
19265921-1;"patricia ortiz duarte";patricia.ortiz706@mail.cl;911393776;;"av gran avenida 800";"santa cruz";6;o'higgins;beneficiario;24887596-8;hijo;;2025-01-01;2025-12-31;NO;;;providencia
23517252-3;"enrique quezada ortiz";enrique.quezada54@mail.cl;;;"av vicuna mackenna 700";independencia;13;metropolitana;adicional;11606281-k;;;2025-01-01;2025-12-31;NO;;;"la florida"
6988932-3;"felicia quezada fuentes";felicia.quezada38@mail.cl;953758269;;"av providencia 200";"las condes";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave7421;"la florida"
5011347-7;"natalia iturra contreras";natalia.iturra109@mail.cl;983787996;;"av recoleta 3100";"santa cruz";6;o'higgins;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;providencia
21752061-4;"natalia nunez galdames";natalia.nunez176@mail.cl;;;"av providencia 2000";santiago;13;metropolitana;invitado;11606281-k;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
24419839-2;"enrique pardo contreras";enrique.pardo430@mail.cl;947144463;;"av apoquindo 1500";maipu;13;metropolitana;invitado;24887596-8;;;2025-01-01;2025-12-31;NO;;;providencia
23038040-6;"enrique jara pardo";enrique.jara621@mail.cl;947288839;;"av providencia 2600";concepcion;8;biobio;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
24574068-9;"javiera pardo alvarez";javiera.pardo811@mail.cl;956068669;;"av irarrazaval 2100";"san miguel";13;metropolitana;invitado;11606281-k;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
12269915-3;"ignacio nunez barrera";ignacio.nunez791@mail.cl;912852709;;"av gran avenida 2800";"vina del mar";5;valparaiso;adicional;24887596-8;;;2025-01-01;2025-12-31;NO;;;providencia
24942622-9;"helena duarte contreras";helena.duarte603@mail.cl;;;"av vicuna mackenna 400";santiago;13;metropolitana;invitado;11606281-k;;;2025-01-01;2025-12-31;NO;;;providencia
22134702-1;"felicia alvarez alvarez";felicia.alvarez679@mail.cl;924685920;;"av apoquindo 1400";"las condes";13;metropolitana;adicional;6988932-3;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
8554458-8;"javiera mendez fuentes";javiera.mendez259@mail.cl;;;"av irarrazaval 1800";concepcion;8;biobio;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave1277;"la florida"
20484469-3;"patricia pardo fuentes";patricia.pardo366@mail.cl;;;"av macul 900";"la florida";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave5625;"santa cruz"
15891435-5;"enrique lagos alvarez";enrique.lagos45@mail.cl;930226248;;"av alameda 1600";"la florida";13;metropolitana;adicional;10336757-5;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
20848551-2;"daniela henriquez fuentes";daniela.henriquez504@mail.cl;;;"av apoquindo 200";"la florida";13;metropolitana;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave8398;"santa cruz"
22997716-4;"natalia duarte nunez";natalia.duarte638@mail.cl;;;"av vicuna mackenna 3600";concepcion;8;biobio;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave5845;providencia
24229352-0;"daniela quezada quezada";daniela.quezada862@mail.cl;;;"av macul 2500";santiago;13;metropolitana;invitado;24887596-8;;;2025-01-01;2025-12-31;NO;;;providencia
15182198-7;"patricia duarte espinoza";patricia.duarte537@mail.cl;985713232;;"av gran avenida 1800";"vina del mar";5;valparaiso;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave3126;"santa cruz"
12380211-k;"kevin mendez contreras";kevin.mendez576@mail.cl;;;"av pedro de valdivia 500";santiago;13;metropolitana;invitado;22997716-4;;;2025-01-01;2025-12-31;NO;;;providencia
9848362-5;"ignacio quezada henriquez";ignacio.quezada643@mail.cl;;;"av providencia 3700";"santa cruz";6;o'higgins;socio_titular;;;;2025-01-01;2025-12-31;SI;socio;clave8088;"santa cruz"
10482557-8;"javiera iturra nunez";javiera.iturra893@mail.cl;;;"av vicuna mackenna 700";santiago;13;metropolitana;adicional;11606281-k;;;2025-01-01;2025-12-31;NO;;;"santa cruz"
7085505-5;"alvaro espinoza pardo";alvaro.espinoza55@mail.cl;;;"av recoleta 1500";providencia;13;metropolitana;adicional;22997716-4;;;2025-01-01;2025-12-31;NO;;;"santiago centro"
