run_persona;nombre_completo;email;telefono_celular;telefono_alternativo;direccion_calle;comuna_nombre;region_codigo;region_nombre;tipo_persona;run_socio_titular;parentesco;fecha_nacimiento;fecha_inicio_membresia;fecha_fin_membresia;es_usuario_sistema;tipo_usuario;clave_en_texto_plano;sucursal_base_nombre
15741923-4;Claudio Quezada Contreras;claudio.quezada245@mail.cl;991377023;987746494.0;Av Macul 1200;Las Condes;13;Metropolitana;invitado;;abuela;-1990;01-01-25;31-12-25;NO;;;La Florida
24760909-1;Javiera Duarte Espinoza;javiera.duarte76@mail.cl;982548578;998521935.0;Av Providencia 3800;Concepcion;8;BioBio;adicional;;madre;14-03-70;01-01-25;31-12-25;NO;;;Santiago Centro
8618060-1;Gonzalo Ortiz Fuentes;gonzalo.ortiz920@mail.cl;983021172;999316298.0;Av Vitacura 2400;Las Condes;13;Metropolitana;beneficiario;;c—nyuge;14-05-75;01-01-25;31-12-25;NO;;;La Florida
24887596-8;Mauricio Barrera Duarte;mauricio.barrera71@mail.cl;860815;995286491.0;Av Pedro de Valdivia 4000;San Miguel;13;Metropolitana;socio_titular;;;1990-01;01-01-25;31-12-25;SI;socio;clave9012;Santiago Centro
15056800-5;Enrique Espinoza Mendez;enrique.espinoza303@mail.cl;848620;995323928.0;Av Macul 2600;Vina del Mar;5;Valparaiso;adicional;24887596-8;abuela;09-09-83;01-01-25;31-12-25;NO;;;Santiago Centro
19248057-4;Claudio Barrera Jara;claudio.barrera746@mail.cl;181493;933190336.0;Av Vitacura 3400;Santiago;13;Metropolitana;adicional;24887596-8;abuela;-1990;01-01-25;31-12-25;NO;;;Santa Cruz
10336757-5;Claudio Barrera Ortiz;claudio.barrera409@mail.cl;997309677;;Av Pedro de Valdivia 700;Providencia;13;Metropolitana;socio_titular;;;10-01-74;01-01-25;31-12-25;SI;socio;clave5684;Santa Cruz
18255309-5;Javiera Pardo Nuñez;javiera.pardo833@mail.cl;877797;;Av Vicu�a Mackenna 3000;Concepcion;8;BioBio;adicional;24887596-8;padre;04-07-88;01-01-25;31-12-25;NO;;;Providencia
19510785-9;Alvaro Ortiz Espinoza;alvaro.ortiz112@mail.cl;994405901;997697025.0;Av Providencia 3800;San Miguel;13;Metropolitana;invitado;10336757-5;abuela;26-06-55;01-01-25;31-12-25;NO;;;Santa Cruz
10336614-3;Javiera Ortiz Alvarez;javiera.ortiz629@mail.cl;679739;964479365.0;Av Gran Avenida 1000;Independencia;13;Metropolitana;adicional;10336757-5;padre;20-08-78;01-01-25;31-12-25;NO;;;Santa Cruz
