codigo_reserva;fecha_reserva;fecha_inicio;fecha_fin;estado_reserva;run_reservante;nombre_reservante;es_socio;lugar_nombre;sucursal_nombre;monto_total;monto_pagado;medio_pago;fecha_pago
RES-00001;17-04-25;17-04-25;23-04-25;ejecutada;21099442-4;"luis contreras";no;"cabana 14";"santa cruz";720000;720000;transferencia;15-04-25
RES-00002;19-12-25;19-12-25;26-12-25;cancelada;7812836-4;"pedro rojas";si;"cabana 12";"santa cruz";840000;0;;16-12-25
RES-00003;15-05-25;15-05-25;"15-05-25 14:00";reservada;20408365-7;"maria gonzalez";si;"restaurant 2";providencia;30000;0;;14-05-25
RES-00004;06-12-25;06-12-25;07-12-25;reservada;9269949-8;"ana silva";si;"cabana 7";"santiago centro";120000;0;;06-12-25
RES-00006;04-06-25;15//25;09-06-25;cancelada;12809545-4;"juan perez";no;"cabana 4";"santiago centro";600000;0;;31-05-25
RES-00008;20-08-25;20-08-25;22-08-25;reservada;17606228-2;"juan perez";no;"cabana 2";"la florida";240000;0;;18-08-25
RES-00009;10-01-25;10-01-25;19-01-25;reservada;23311403-0;ana;no;"cabana 9";providencia;1080000;0;;05-01-25
RES-00010;19-08-25;19-08-25;22-08-25;ejecutada;13015768-8;"pedro rojas";no;"cabana 1";"santiago centro";360000;360000;transferencia;18-08-25
RES-00014;07-05-25;07-05-25;12-05-25;ejecutada;12075076-3;"juan perez";si;"cabana 7";"santa cruz";600000;600000;tarjeta;03-05-25
RES-00015;12-09-25;12-09-25;19-09-25;ejecutada;21296743-2;"pedro rojas";no;"cabana 16";providencia;840000;840000;transferencia;12-09-25
RES-00017;01-08-25;01-08-25;03-08-25;ejecutada;21349217-9;"luis contreras";no;"cabana 2";"santa cruz";240000;240000;transferencia;30-07-25
RES-00018;16-06-25;16-06-25;26-06-25;ejecutada;20713143-1;"luis contreras";no;"cabana 1";providencia;1200000;1200000;transferencia;12-06-25
RES-00019;04-12-25;04-12-25;10-12-25;cancelada;21099442-4;"luis contreras";si;"cabana 2";providencia;720000;0;;01-12-25
RES-00020;04-02-25;04-02-25;14-02-25;reservada;6946141-7;"ana silva";no;"cabana 1";"santa cruz";1200000;0;;02-02-25
RES-00023;13-12-25;13-12-25;21-12-25;ejecutada;21178138-6;"ana silva";si;"cabana 2";"la florida";960000;960000;efectivo;13-12-25
RES-00024;17-08-25;17-08-25;20-08-25;ejecutada;5643136-5;"juan perez";no;"cabana 17";providencia;360000;360000;efectivo;14-08-25
RES-00025;01-12-25;01-12-25;05-12-25;reservada;18468277-k;"luis contreras";no;"cabana 7";"santa cruz";480000;0;;29-11-25
RES-00028;14-08-25;14-08-25;24-08-25;cancelada;16479158-0;"pedro rojas";no;"cabana 10";"la florida";1200000;0;;13-08-25
RES-00030;02-01-25;02-01-25;09-01-25;reservada;24859483-7;"luis contreras";si;"cabana 16";"la florida";840000;0;;30-12-24
RES-00032;02-03-25;02-03-25;08-03-25;ejecutada;13224751-k;"luis contreras";si;"cabana 4";providencia;720000;720000;efectivo;26-02-25
RES-00033;01-12-25;01-12-25;11-12-25;cancelada;16479158-0;"pedro rojas";si;"cabana 18";"la florida";1200000;0;;26-11-25
RES-00034;12-05-25;12-05-25;19-05-25;reservada;7686256-7;"luis contreras";no;"cabana 10";"santa cruz";840000;0;;11-05-25
RES-00036;12-04-25;12-04-25;21-04-25;ejecutada;17263289-0;"juan perez";no;"cabana 1";providencia;1080000;1080000;efectivo;10-04-25
RES-00038;14-12-25;14-12-25;23-12-25;reservada;15838325-k;"maria gonzalez";si;"cabana 6";"la florida";1080000;0;;09-12-25
RES-00039;11-06-25;11-06-25;12-06-25;ejecutada;21743846-2;"pedro rojas";si;"cabana 19";"santiago centro";120000;120000;transferencia;09-06-25
RES-00042;06-10-25;06-10-25;16-10-25;ejecutada;23498184-6;"juan perez";si;"cabana 11";providencia;1200000;1200000;tarjeta;03-10-25
RES-00044;04-12-25;04-12-25;12-12-25;ejecutada;6807678-1;"pedro rojas";no;"cabana 18";"la florida";960000;960000;efectivo;29-11-25
RES-00047;04-07-25;04-07-25;"04-07-25 23:00";reservada;9680719-0;"ana silva";si;"salon eventos 2";"santiago centro";100000;0;;02-07-25
RES-00053;13-12-25;13-12-25;"13-12-25 22:00";reservada;9487250-7;"ana silva";no;"piscina 1";providencia;20000;0;;11-12-25
RES-00054;13-01-25;13-01-25;19-01-25;reservada;20928234-8;"pedro rojas";si;"cabana 5";"santa cruz";720000;0;;09-01-25
RES-00058;09-10-25;09-10-25;10-10-25;reservada;21454860-7;"ana silva";no;"cabana 19";"la florida";120000;0;;08-10-25
RES-00059;08-09-25;08-09-25;11-09-25;reservada;17647891-8;"maria gonzalez";si;"cabana 2";"la florida";360000;0;;05-09-25
RES-00061;14-11-25;14-11-25;22-11-25;ejecutada;17623443-1;"maria gonzalez";si;"cabana 8";providencia;960000;960000;efectivo;11-11-25
RES-00062;07-12-25;07-12-25;14-12-25;ejecutada;20112516-2;"luis contreras";no;"cabana 14";"santiago centro";840000;840000;tarjeta;02-12-25
RES-00064;14-03-25;14-03-25;23-03-25;ejecutada;20328291-5;"juan perez";si;"cabana 4";"santa cruz";1080000;1080000;efectivo;09-03-25
RES-00065;15//25;15-05-25;19-05-25;reservada;9381544-0;"pedro rojas";no;"cabana 11";"la florida";480000;0;;14-05-25
RES-00068;08-05-25;08-05-25;17-05-25;reservada;8267419-5;"pedro rojas";si;"cabana 9";providencia;1080000;0;;03-05-25
RES-00069;17-01-25;17-01-25;21-01-25;ejecutada;22966221-k;"maria gonzalez";si;"cabana 12";"santa cruz";480000;480000;transferencia;17-01-25
RES-00070;07-12-25;07-12-25;11-12-25;reservada;5779517-4;"luis contreras";si;"cabana 5";"santa cruz";480000;0;;04-12-25
RES-00071;15-06-25;15-06-25;20-06-25;reservada;11086191-5;"ana silva";no;"cabana 3";"santiago centro";600000;0;;11-06-25
RES-00074;01-03-25;01-03-25;02-03-25;reservada;12887828-9;"maria gonzalez";no;"cabana 3";providencia;120000;0;;26-02-25
RES-00075;06-01-25;06-01-25;16-01-25;ejecutada;8991172-9;"juan perez";no;"cabana 5";"santiago centro";1200000;1200000;tarjeta;03-01-25
