codigo_reserva;fecha_reserva;fecha_inicio;fecha_fin;estado_reserva;run_reservante;nombre_reservante;es_socio;lugar_nombre;sucursal_nombre;monto_total;monto_pagado;medio_pago;fecha_pago
RES-00005;2025-07-04;"2025-07-04 13:00";"2025-07-04 14:00";ejecutada;20112516-2;"luis contreras";no;"salon eventos 1";"santiago centro";100000;100000;efectivo;2025-06-30
RES-00007;2025-05-11;"2025-05-11 18:00";"2025-05-11 19:00";reservada;17503226-6;"juan perez";si;"cancha futbolito techada";"la florida";35000;0;;2025-05-08
RES-00011;2025-04-05;"2025-04-05 14:00";"2025-04-05 15:00";reservada;18154120-2;"maria gonzalez";si;"salon eventos 2";"la florida";100000;0;;2025-04-03
RES-00012;2025-03-19;"2025-03-19 13:00";"2025-03-19 14:00";ejecutada;8805000-2;"maria gonzalez";no;"cancha padel aire libre";"la florida";25000;25000;transferencia;2025-03-14
RES-00013;2025-03-03;"2025-03-03 17:00";"2025-03-03 18:00";ejecutada;5854603-8;"luis contreras";si;"salon eventos 4";"la florida";100000;100000;tarjeta;2025-03-01
RES-00016;2025-06-17;"2025-06-17 11:00";"2025-06-17 12:00";ejecutada;5854603-8;"luis contreras";si;"salon eventos 2";"santiago centro";100000;100000;tarjeta;2025-06-14
RES-00021;2025-03-15;"2025-03-15 17:00";"2025-03-15 18:00";cancelada;24967582-2;"maria gonzalez";si;"salon eventos 3";"santa cruz";100000;0;;2025-03-12
RES-00022;2025-01-04;"2025-01-04 22:00";"2025-01-04 23:00";reservada;16968310-7;"luis contreras";no;"piscina 1";providencia;20000;0;;2025-01-02
RES-00026;2025-07-07;"2025-07-07 18:00";"2025-07-07 19:00";ejecutada;15795747-3;"ana silva";no;"cancha futbolito aire libre";"la florida";25000;25000;efectivo;2025-07-04
RES-00027;2025-09-01;"2025-09-01 17:00";"2025-09-01 18:00";reservada;14582283-1;"luis contreras";si;"salon eventos 1";"santa cruz";100000;0;efectivo;2025-08-30
RES-00029;2025-06-19;"2025-06-19 19:00";"2025-06-19 20:00";cancelada;18053720-9;"ana silva";si;"cancha basquetbol aire libre";"santa cruz";25000;0;;2025-06-16
RES-00031;2025-12-11;"2025-12-11 22:00";"2025-12-11 23:00";ejecutada;19104958-6;pedro;no;"cancha basquetbol aire libre";"santa cruz";25000;25000;tarjeta;2025-12-09
RES-00035;2025-06-16;"2025-06-16 09:00";"2025-06-16 10:00";ejecutada;20713143-1;"luis contreras";no;"salon eventos 1";providencia;100000;100000;transferencia;2025-06-11
RES-00037;2025-02-02;"2025-02-02 17:00";"2025-02-02 18:00";reservada;22156789-7;luis;no;"restaurant 1";providencia;30000;0;;2025-01-29
RES-00040;2025-01-02;"2025-01-02 18:00";"2025-01-02 19:00";cancelada;14155657-6;"pedro rojas";si;"cancha futbolito aire libre";"santiago centro";25000;0;;2025-01-02
RES-00041;2025-12-10;"2025-12-10 11:00";"2025-12-10 12:00";ejecutada;21947907-7;"maria gonzalez";no;"salon eventos 4";providencia;100000;100000;efectivo;2025-12-08
RES-00043;2025-10-02;"2025-10-02 09:00";"2025-10-02 10:00";ejecutada;10837704-6;"pedro rojas";si;"cancha padel aire libre";"santiago centro";25000;25000;transferencia;2025-10-01
RES-00045;2025-11-13;"2025-11-13 15:00";"2025-11-13 16:00";reservada;21156024-k;"maria gonzalez";si;"salon eventos 3";"santa cruz";100000;0;;2025-11-08
