codigo_reserva;fecha_reserva;fecha_inicio;fecha_fin;estado_reserva;run_reservante;nombre_reservante;es_socio;lugar_nombre;sucursal_nombre;monto_total;monto_pagado;medio_pago;fecha_pago
;17-04-25;17-04-25;23-04-25;ejecutada;21099442-4;Luis Contreras;NO;Caba–a 14;Santa Cruz;720000;720000;transferencia;15-04-25
;19-12-25;19-12-25;26-12-25;cancelada;7812836-4;Pedro Rojas;SI;Caba–a 12;Santa Cruz;840000;0;;16-12-25
;15-05-25;15-05-25;15-05-25 14:00;reservada;20408365-7;Maria Gonzalez;SI;Restaurant 2 X;Providencia;30000;0;;14-05-25
;06-12-25;06-12-25;07-12-25;reservada;9269949-8;Ana Silva;SI;Caba–a 7;Santiago Centro;120000;0;;06-12-25
;04-07-25;04-07-25 13:00;04-07-25 14:00;ejecutada;20112516-2;Luis Contreras;NO;Salon Eventos 1;Santiago Centro;100000;100000;efectivo;30-06-25
;04-06-25;15//25;09-06-25;cancelada;12809545-4;Juan Perez;NO;Caba–a 4;Santiago Centro;600000;0;;31-05-25
;11-05-25;11-05-25 18:00;11-05-25 19:00;reservada;17503226-6;Juan Perez;SI;Cancha Futbolito Techada;La Florida;35000;0;;08-05-25
;20-08-25;20-08-25;22-08-25;reservada;17606228-2;Juan Perez;NO;Caba–a 2;La Florida;240000;0;;18-08-25
;10-01-25;10-01-25;19-01-25;reservada;23311403-0;Ana;NO;Caba–a 9;Providencia;1080000;0;;05-01-25
;19-08-25;19-08-25;22-08-25;ejecutada;13015768-8;Pedro Rojas;NO;Caba–a 1;Santiago Centro;360000;360000;transferencia;18-08-25
;05-04-25;05-04-25 14:00;05-04-25 15:00;reservada;18154120-2;Maria Gonzalez;SI;Salon Eventos 2;La Florida;100000;0;;03-04-25
;19-03-25;19-03-25 13:00;19-03-25 14:00;ejecutada;8805000-2;Maria Gonzalez;NO;Cancha Padel Aire Libre;La Florida;25000;25000;transferencia;14-03-25
;03-03-25;03-03-25 17:00;03-03-25 18:00;ejecutada;5854603-8;Luis Contreras;SI;Salon Eventos 4;La Florida;100000;100000;tarjeta;01-03-25
;07-05-25;07-05-25;12-05-25;ejecutada;12075076-3;Juan Perez;SI;Caba–a 7;Santa Cruz;600000;600000;tarjeta;03-05-25
;12-09-25;12-09-25;19-09-25;ejecutada;21296743-2;Pedro Rojas;NO;Caba–a 16;Providencia;840000;840000;transferencia;12-09-25
;17-06-25;17-06-25 11:00;17-06-25 12:00;ejecutada;5854603-8;Luis Contreras;SI;Salon Eventos 2;Santiago Centro;100000;100000;tarjeta;14-06-25
;01-08-25;01-08-25;03-08-25;ejecutada;21349217-9;Luis Contreras;NO;Caba–a 2;Santa Cruz;240000;240000;transferencia;30-07-25
;16-06-25;16-06-25;26-06-25;ejecutada;20713143-1;Luis Contreras;NO;Caba–a 1;Providencia;1200000;1200000;transferencia;12-06-25
;04-12-25;04-12-25;10-12-25;cancelada;21099442-4;Luis Contreras;SI;Caba–a 2;Providencia;720000;0;;01-12-25
;04-02-25;04-02-25;14-02-25;reservada;6946141-7;Ana Silva;NO;Caba–a 1;Santa Cruz;1200000;0;;02-02-25
