,ID_transaccion,Rut,Fecha,Monto,Local
0,11468,18001449,12:33.7,76614,L15
1,19219,18001449,21:52.8,17547,L15
2,17850,18001449,05:46.6,36592,L5
3,21089,18001449,12:11.5,88654,L17
4,18385,18001449,55:28.4,60884,L15
5,21858,18001449,51:51.5,86499,L4
6,20741,18001449,07:09.1,58404,L1
7,16635,18001449,05:03.5,41881,L6
8,16823,18001449,34:56.4,20365,L14
9,18944,18001449,46:38.6,5685,L16
10,14504,18001449,46:04.0,12030,L5
11,10163,18001449,03:48.6,68253,L16
12,21510,18001449,33:25.0,74060,L7
13,17230,18001449,05:45.4,71151,L10
14,11419,18001449,29:22.4,69047,L12
15,18020,18001449,28:42.3,81411,L17
16,18221,18001449,05:41.9,14841,L9
17,15880,18001449,01:32.2,59278,L2
18,19710,18001449,08:40.4,33239,L7
19,15816,18001449,56:11.1,51822,L2
20,15603,18001449,08:54.5,64443,L1
21,17244,18001449,15:11.5,81096,L1
22,18649,18005940,06:02.1,4054,L11
23,16596,18005940,29:42.6,40400,L13
24,17955,18005940,37:00.5,80734,L11
25,22143,18005940,13:08.0,27261,L3
26,22172,18005940,48:17.5,56805,L15
27,17475,18005940,54:01.1,20732,L15
28,18670,18005940,31:57.5,66974,L11
29,12127,18005940,15:29.1,82374,L1
30,21249,18005940,38:58.7,83855,L4
31,16904,18005940,13:25.5,70136,L7
32,11315,18005940,32:46.1,60536,L12
33,15961,18005940,07:41.0,24752,L1
34,14098,18005940,39:13.9,88283,L12
35,21229,18005940,13:13.5,49856,L1
36,11164,18012693,26:13.6,41933,L11
37,14744,18012693,43:28.0,46938,L1
38,16339,18012693,18:47.8,45066,L14
39,10062,18012693,37:42.3,60961,L16
40,14130,18012693,13:08.0,75176,L10
41,20128,18012693,33:40.3,16771,L1
42,12410,18012693,34:30.3,19808,L5
43,14934,18012693,25:18.3,6421,L2
44,17158,18012693,39:15.7,39898,L14
45,15245,18025515,34:54.3,26219,L9
46,19037,18025515,43:56.4,8083,L11
47,14948,18025515,19:37.6,61348,L4
48,17146,18025515,43:06.1,76507,L14
49,13843,18025515,54:32.5,16536,L5
50,14877,18025515,33:04.3,71165,L17
51,12522,18025515,32:21.2,24150,L10
52,14012,18025515,25:42.9,69841,L8
53,12794,18025515,04:45.1,39674,L15
54,18081,18025515,03:06.5,76869,L11
55,22058,18025515,31:33.5,84858,L14
56,11653,18025515,49:33.9,24452,L13
57,19779,18036316,24:51.3,29195,L12
58,19042,18036316,54:39.8,65087,L17
59,18267,18036316,10:35.2,48308,L14
60,19557,18036316,45:09.3,66446,L1
61,18404,18036316,29:29.4,11821,L2
62,14229,18036316,30:06.3,12936,L3
63,11761,18036316,33:10.4,33848,L17
64,13462,18036316,27:11.0,26642,L11
65,19252,18036316,30:47.6,18418,L9
66,21136,18036316,49:24.2,34879,L11
67,15465,18036316,03:18.5,12777,L8
68,12896,18053965,11:53.0,54161,L3
69,21422,18053965,24:04.8,6632,L10
70,12697,18053965,00:01.8,8531,L10
71,21937,18053965,07:36.0,59551,L3
72,21215,18053965,46:02.9,53446,L7
73,11983,18053965,53:35.1,60328,L5
74,16209,18053965,57:33.1,6253,L10
75,19417,18053965,21:36.1,44093,L8
76,19879,18053965,18:40.8,9472,L15
77,11102,18053965,22:01.3,85070,L7
78,17367,18055211,21:53.7,49806,L8
79,15464,18055211,39:09.3,62195,L9
80,15745,18055211,48:25.4,71103,L11
81,20484,18055211,31:50.8,51342,L4
82,11669,18055211,32:44.1,81283,L7
83,12300,18055211,45:37.1,1868,L11
84,11463,18055211,07:02.4,88286,L11
85,18636,18055211,19:36.4,36660,L1
86,21223,18055211,37:24.5,41820,L6
87,14447,18055211,18:38.4,11548,L12
88,20279,18055211,16:51.6,70128,L4
89,20582,18055211,26:25.9,87239,L8
90,18499,18055211,48:10.5,55725,L3
91,13833,18055211,08:22.6,41552,L4
92,22075,18059616,32:42.9,57180,L11
93,21657,18059616,44:09.6,39672,L6
94,12031,18059616,31:53.4,79001,L14
95,18422,18059616,34:47.3,86961,L15
96,19819,18059616,00:42.4,12597,L10
97,11121,18059616,15:47.5,37489,L15
98,10396,18059616,58:58.2,50865,L13
99,16814,18059616,33:12.5,52434,L12
100,11109,18059616,23:02.5,18392,L1
101,11081,18059616,48:45.0,33530,L6
102,18293,18059616,21:00.4,72761,L12
103,15325,18059616,47:57.9,6930,L8
104,21943,18059616,37:33.3,15706,L17
105,21827,18059616,04:47.1,17671,L10
106,14854,18061371,51:58.8,18533,L9
107,21227,18061371,24:21.5,85113,L6
108,18018,18061371,11:54.8,8825,L9
109,11089,18061371,10:18.8,53442,L11
110,17441,18061371,07:52.1,70722,L14
111,17353,18061371,37:30.9,2035,L7
112,15521,18061371,41:31.2,11384,L6
113,10377,18061371,03:48.6,67102,L17
114,12276,18061371,42:43.5,72217,L5
115,18978,18061371,42:18.4,16065,L7
116,15244,18061371,08:44.2,42319,L9
117,11275,18061371,18:38.1,85549,L16
118,10069,18061371,14:18.2,38998,L1
119,21663,18061371,23:44.3,60465,L7
120,10093,18061371,30:29.1,22397,L6
121,17462,18061371,58:57.4,30297,L3
122,21823,18062447,34:05.4,68166,L11
123,19121,18062447,34:06.3,64845,L11
124,21546,18062447,40:38.2,52506,L12
125,19500,18062447,51:12.0,36346,L5
126,10535,18062447,37:53.2,44409,L2
127,16894,18062447,56:45.1,21481,L14
128,14909,18062447,45:57.6,85727,L12
129,20307,18062447,53:22.2,82419,L15
130,15516,18062447,15:34.6,45265,L14
131,12920,18062447,41:46.7,54203,L8
132,16503,18062447,52:30.4,50251,L8
133,10439,18062447,25:47.0,65799,L4
134,15331,18062447,44:26.3,36451,L11
135,18204,18062447,33:58.4,38374,L1
136,16553,18062447,35:21.2,88753,L1
137,12371,18062447,37:19.8,24996,L2
138,19921,18062447,58:40.7,69193,L15
139,13533,18062447,25:01.3,34469,L9
140,22045,18062447,28:18.6,74038,L2
141,11888,18062447,52:20.4,53248,L10
142,10099,18062447,59:36.9,41878,L6
143,12184,18068128,32:17.4,39774,L6
144,14355,18068128,29:19.2,53732,L11
145,16175,18068128,50:41.2,60030,L12
146,21328,18068128,04:11.4,84149,L11
147,21112,18068128,13:06.8,66479,L14
148,15929,18068128,12:45.7,19056,L9
149,13758,18068128,12:38.1,40416,L10
150,19981,18068128,27:17.7,86932,L15
151,17890,18068128,26:45.2,11110,L14
152,13030,18068128,50:26.0,46164,L10
153,17174,18068128,02:33.4,65768,L3
154,16556,18068128,39:41.8,4411,L17
155,21270,18068128,03:45.1,27381,L2
156,20117,18072735,54:41.2,74105,L15
157,17464,18072735,26:42.3,79995,L6
158,12866,18072735,34:06.6,83080,L7
159,10357,18072735,57:44.5,89055,L13
160,17082,18072735,36:37.9,47752,L12
161,12381,18072735,13:24.7,37471,L9
162,10234,18072735,50:14.9,25950,L1
163,14016,18072735,30:29.4,72879,L14
164,11517,18072735,05:00.3,57434,L3
165,16391,18072735,31:54.0,81489,L7
166,20441,18072735,10:03.6,54673,L11
167,13811,18072735,54:29.2,49582,L15
168,10914,18072735,32:45.8,46389,L5
169,19773,18072735,54:02.0,74290,L8
170,20976,18072735,28:23.0,74284,L16
171,21699,18072735,49:26.0,32355,L13
172,13471,18072935,58:14.3,86313,L10
173,13032,18072935,40:52.9,65534,L16
174,20743,18072935,56:25.2,79176,L10
175,13555,18072935,47:33.3,65490,L13
176,15775,18072935,04:32.8,73535,L3
177,20167,18072935,02:34.8,59355,L5
178,10928,18072935,07:00.6,76110,L8
179,18027,18072935,39:01.7,7861,L14
180,22271,18072935,18:37.8,68599,L14
181,11891,18081997,07:32.5,64643,L10
182,16405,18081997,22:10.4,18357,L3
183,18226,18081997,04:59.1,11000,L13
184,14204,18081997,31:59.3,74923,L14
185,12370,18081997,57:17.5,84553,L14
186,19024,18081997,00:54.7,14476,L4
187,20078,18081997,48:49.7,58240,L11
188,20076,18081997,22:01.6,54165,L12
189,13622,18081997,34:01.0,22505,L1
190,16770,18081997,57:17.5,56460,L12
191,18481,18081997,09:16.4,11569,L16
192,13857,18081997,25:49.9,9873,L8
193,15156,18081997,44:16.0,55045,L12
194,11795,18081997,12:47.5,84336,L3
195,13751,18081997,09:47.2,79221,L16
196,12709,18081997,41:07.2,87946,L10
197,14316,18082237,46:34.2,36524,L7
198,11224,18082237,23:18.3,5053,L7
199,12136,18082237,14:53.6,63665,L7
200,12580,18082237,13:17.0,35877,L8
201,16348,18082237,25:02.2,70589,L14
202,20691,18082237,16:52.2,89260,L13
203,17314,18082237,46:41.2,85984,L13
204,22103,18082237,07:23.2,86130,L1
205,19582,18082237,44:42.9,22527,L4
206,10601,18082237,53:11.4,71961,L16
207,21376,18082237,25:13.3,43820,L7
208,12348,18082237,39:49.7,56866,L2
209,15565,18082237,41:31.8,60436,L3
210,18784,18082237,40:23.9,2689,L6
211,20961,18082651,30:43.5,16572,L1
212,11770,18082651,05:29.0,64395,L9
213,11691,18082651,37:25.9,34713,L4
214,20058,18082651,14:53.0,63706,L16
215,17073,18082651,44:44.4,26868,L2
216,20079,18082651,55:58.2,66096,L1
217,11748,18082651,49:22.5,84692,L10
218,18902,18082651,30:10.4,3405,L5
219,20695,18082651,30:55.8,89625,L6
220,21242,18082651,59:01.2,24624,L3
221,16993,18089664,21:24.4,25747,L12
222,20182,18089664,16:03.3,17469,L4
223,17360,18089664,31:37.3,75633,L17
224,19437,18089664,26:05.7,50826,L11
225,20453,18089664,07:19.1,65811,L14
226,10625,18089664,45:09.0,49752,L3
